deltaT,dairy_network,no_of_reachable_nodes
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_58.network,947
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_58.network,1913
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_58.network,2212
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_59.network,2
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_59.network,2
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_59.network,259
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_59.network,542
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_59.network,843
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_59.network,1163
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_60.network,1
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_60.network,5
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_60.network,7
60,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_60.network,315
75,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_60.network,698
90,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_60.network,2346
15,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_61.network,10
30,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_61.network,31
45,data/raw/USAMMv3_cattle_networks/dairy/dairy_network_61.network,772
